"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/1917_2019","1917",2020-01-10,"R","Certified-Fresh",89,444,"",88,30494,"Male",9,9,100,2020,"R"
"m/akira","Akira",2020-09-24,"R","Certified-Fresh",90,49,"Upright",90,148559,"Male",2,5,40,2020,"R"
"m/antebellum","Antebellum",2020-08-21,"R","Rotten",28,161,"Spilled",56,538,"Male",3,6,50,2020,"R"
"m/arkansas","Arkansas",2020-05-05,"R","Rotten",47,64,"Spilled",54,233,"Male",5,6,83,2020,"R"
"m/bad_boys_for_life","Bad Boys for Life",2020-01-17,"R","Certified-Fresh",77,257,"",96,42965,"Male",5,7,71,2020,"R"
"m/banana_split_2020","Banana Split",2020-03-27,"R","Certified-Fresh",89,53,"Upright",60,172,"Male",1,6,17,2020,"R"
"m/behind_you","Behind You",2020-04-17,"R","Rotten",6,16,"Spilled",30,56,"Male",2,5,40,2020,"R"
"m/bill_and_ted_face_the_music","Bill & Ted Face the Music",2020-08-28,"PG-13","Certified-Fresh",82,235,"Upright",72,2203,"Male",5,11,45,2020,"PG-13"
"m/birds_of_prey_2020","Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)",2020-02-07,"R","Certified-Fresh",78,410,"",78,15715,"Male",5,10,50,2020,"R"
"m/bloodshot_2020","Bloodshot",2020-03-13,"PG-13","Rotten",30,159,"",78,1646,"Male",7,8,88,2020,"PG-13"
"m/brahms_the_boy_ii","Brahms: The Boy II",2020-02-21,"PG-13","Rotten",9,56,"",44,1304,"Male",2,5,40,2020,"PG-13"
"m/burden_2020","Burden",2020-02-28,"R","Rotten",51,68,"",97,29,"Male",3,5,60,2020,"R"
"m/the_shadow_of_violence","Calm with Horses (The Shadow of Violence)",2020-07-31,"R","Certified-Fresh",94,65,"Upright",68,50,"Male",1,2,50,2020,"R"
"m/capone_2020","Capone",2020-05-12,"R","Rotten",41,128,"Spilled",25,562,"Male",6,9,67,2020,"R"
"m/come_to_daddy","Come to Daddy",2020-02-07,"R","Certified-Fresh",87,100,"",75,8,"Male",4,6,67,2020,"R"
"m/disturbing_the_peace_2020","Disturbing the Peace",2020-01-17,"R","",NA,NA,"",NA,NA,"Male",3,4,75,2020,"R"
"m/dolittle","Dolittle",2020-01-17,"PG","Rotten",14,228,"",76,11526,"Male",10,17,59,2020,"PG"
"m/emma_2020","Emma.",2020-02-21,"PG","Certified-Fresh",87,235,"",72,2093,"Male",3,10,30,2020,"PG"
"m/emperor_2020","Emperor",2020-03-27,"PG-13","Fresh",77,13,"Upright",68,31,"Male",3,6,50,2020,"PG-13"
"m/escape_from_pretoria","Escape from Pretoria",2020-03-06,"PG-13","Fresh",71,42,"Upright",74,203,"Male",2,2,100,2020,"PG-13"
"m/fantasy_island_2020","Fantasy Island",2020-02-14,"PG-13","Rotten",7,107,"",48,3565,"Male",5,10,50,2020,"PG-13"
"m/fatima_2020","Fatima",2020-08-28,"PG-13","Fresh",62,42,"",94,69,"Male",4,4,100,2020,"PG-13"
"m/first_cow","First Cow",2020-03-06,"PG-13","Certified-Fresh",96,143,"",56,36,"Male",4,4,100,2020,"PG-13"
"m/force_of_nature_2020","Force of Nature",2020-06-30,"R","Rotten",9,35,"Spilled",20,143,"Male",5,6,83,2020,"R"
"m/four_kids_and_it","Four Kids and It",2020-06-30,"PG","Rotten",50,40,"Spilled",19,16,"Male",4,8,50,2020,"PG"
"m/ghosts_of_war","Ghosts of War",2020-07-17,"R","Rotten",38,40,"Spilled",44,64,"Male",6,6,100,2020,"R"
"m/greed_2020","Greed",2020-02-28,"R","Rotten",47,142,"",33,46,"Male",5,10,50,2020,"R"
"m/guns_akimbo","Guns Akimbo",2020-02-28,"R","Rotten",52,67,"",40,5,"Male",2,4,50,2020,"R"
"m/hooking_up_2020","Hooking Up",2020-03-20,"R","Rotten",30,23,"Spilled",49,55,"Male",3,8,38,2020,"R"
"m/horse_girl","Horse Girl",2020-02-07,"R","Fresh",70,56,"Spilled",48,433,"Male",4,9,44,2020,"R"
"m/how_to_build_a_girl_2020","How to Build a Girl",2020-05-08,"R","Certified-Fresh",79,129,"Spilled",58,106,"Male",3,7,43,2020,"R"
"m/i_still_believe","I Still Believe",2020-03-13,"PG","Rotten",51,45,"",98,1871,"Male",2,4,50,2020,"PG"
"m/impractical_jokers_the_movie","Impractical Jokers: The Movie",2020-02-21,"PG-13","Rotten",35,26,"",76,2274,"Male",3,4,75,2020,"PG-13"
"m/inherit_the_viper","Inherit the Viper",2020-01-10,"R","Rotten",45,20,"Spilled",50,41,"Male",6,9,67,2020,"R"
"m/intrigo_dear_agnes","Intrigo: Dear Agnes",2020-05-08,"R","Rotten",40,5,"",NA,NA,"Male",5,8,62,2020,"R"
"m/intrigo_death_of_an_author","Intrigo: Death of an Author",2020-01-17,"R","Rotten",10,10,"Spilled",50,16,"Male",3,6,50,2020,"R"
"m/irresistible_2020","Irresistible",2020-06-26,"R","Rotten",40,216,"Upright",66,558,"Male",3,5,60,2020,"R"
"m/john_henry_2020","John Henry",2020-01-24,"R","Rotten",0,20,"Spilled",23,168,"Male",3,3,100,2020,"R"
"m/just_mercy","Just Mercy",2020-01-10,"PG-13","Certified-Fresh",84,289,"",99,11821,"Male",7,11,64,2020,"PG-13"
"m/like_a_boss","Like a Boss",2020-01-10,"R","",NA,NA,"",NA,NA,"Male",1,8,12,2020,"R"
"m/lost_girls_2020","Lost Girls",2020-03-13,"R","Fresh",72,50,"Spilled",52,279,"Male",3,7,43,2020,"R"
"m/mighty_oak","Mighty Oak",2020-06-05,"PG-13","Fresh",65,17,"Upright",88,67,"Male",4,7,57,2020,"PG-13"
"m/military_wives","Military Wives",2020-05-22,"PG-13","Certified-Fresh",76,118,"Upright",61,51,"Male",3,6,50,2020,"PG-13"
"m/most_wanted_2020","Most Wanted",2020-07-24,"R","Fresh",69,36,"Spilled",49,37,"Male",9,11,82,2020,"R"
"m/onward","Onward",2020-03-06,"PG","Certified-Fresh",88,324,"",95,8609,"Male",3,7,43,2020,"PG"
"m/relic_2020","Relic",2020-07-10,"R","Certified-Fresh",91,193,"Spilled",49,529,"Male",1,4,25,2020,"R"
"m/resistance_2020","Resistance",2020-03-27,"R","Rotten",56,87,"Upright",60,99,"Male",6,8,75,2020,"R"
"m/retaliation_2020","Retaliation (Romans)",2020-07-24,"R","Fresh",80,20,"Spilled",52,27,"Male",2,4,50,2020,"R"
"m/rogue_2020","Rogue",2020-08-28,"R","Fresh",71,7,"Spilled",17,100,"Male",2,3,67,2020,"R"
"m/run_this_town","Run This Town",2020-03-06,"R","Rotten",47,36,"Spilled",28,29,"Male",6,11,55,2020,"R"
"m/scoob","Scoob!",2020-05-15,"PG","Rotten",48,145,"Spilled",55,1539,"Male",8,11,73,2020,"PG"
"m/sergio_2020","Sergio",2020-04-17,"R","Rotten",43,46,"Spilled",51,168,"Male",2,3,67,2020,"R"
"m/she_dies_tomorrow","She Dies Tomorrow",2020-07-31,"R","Certified-Fresh",84,160,"Spilled",23,165,"Male",2,7,29,2020,"R"
"m/shirley_2020","Shirley",2020-06-05,"R","Certified-Fresh",88,216,"Spilled",56,288,"Male",3,5,60,2020,"R"
"m/sonic_the_hedgehog_2020","Sonic the Hedgehog",2020-02-14,"PG","Fresh",63,237,"",93,19465,"Male",5,6,83,2020,"PG"
"m/spenser_confidential","Spenser Confidential",2020-03-06,"R","Rotten",37,82,"Spilled",53,1120,"Male",3,5,60,2020,"R"
"m/summerland_2020","Summerland",2020-07-31,"PG","Certified-Fresh",77,111,"",73,11,"Male",3,8,38,2020,"PG"
"m/survive_the_night_2020","Survive the Night",2020-05-20,"R","Rotten",15,13,"Upright",63,379,"Male",2,3,67,2020,"R"
"m/swallow","Swallow",2020-03-06,"R","Certified-Fresh",88,119,"Upright",71,374,"Male",3,6,50,2020,"R"
"m/tesla","Tesla",2020-08-21,"PG-13","Fresh",60,161,"",43,14,"Male",7,12,58,2020,"PG-13"
"m/the_corrupted_2020","The Corrupted",2020-01-10,"R","Rotten",30,10,"Spilled",33,18,"Male",5,5,100,2020,"R"
"m/the_gentlemen","The Gentlemen",2020-01-24,"R","Certified-Fresh",75,259,"",84,9640,"Male",6,7,86,2020,"R"
"m/the_grudge_2020","The Grudge",2020-01-03,"R","Rotten",20,123,"",23,3394,"Male",3,9,33,2020,"R"
"m/the_high_note","The High Note",2020-05-08,"PG-13","Fresh",70,176,"Upright",73,276,"Male",3,5,60,2020,"PG-13"
"m/the_hunt_2020","The Hunt",2020-03-13,"R","Rotten",57,246,"",66,964,"Male",5,10,50,2020,"R"
"m/the_invisible_man_2020","The Invisible Man",2020-02-28,"R","Certified-Fresh",91,390,"",88,11939,"Male",1,3,33,2020,"R"
"m/the_king_of_staten_island","The King of Staten Island",2020-06-12,"R","Fresh",74,268,"Upright",85,1750,"Male",4,8,50,2020,"R"
"m/the_last_full_measure","The Last Full Measure",2020-01-24,"R","Rotten",59,71,"",96,1107,"Male",11,15,73,2020,"R"
"m/the_last_thing_he_wanted","The Last Thing He Wanted",2020-02-21,"R","Rotten",5,56,"Spilled",13,297,"Male",4,6,67,2020,"R"
"m/the_legion","The Legion",2020-05-08,"R","",NA,NA,"",NA,NA,"Male",1,2,50,2020,"R"
"m/the_murder_of_nicole_brown_simpson","The Murder of Nicole Brown Simpson",2020-01-10,"R","Rotten",0,9,"Spilled",4,53,"Male",1,4,25,2020,"R"
"m/the_night_clerk_2020","The Night Clerk",2020-02-21,"R","Rotten",36,45,"Spilled",31,227,"Male",3,5,60,2020,"R"
"m/the_outpost_2020","The Outpost",2020-07-03,"R","Certified-Fresh",92,90,"Upright",83,478,"Male",7,7,100,2020,"R"
"m/the_photograph_2020","The Photograph",2020-02-14,"PG-13","Fresh",74,107,"",81,7290,"Male",3,5,60,2020,"PG-13"
"m/the_quarry_2020","The Quarry",2020-04-17,"R","",NA,NA,"",NA,NA,"Male",5,6,83,2020,"R"
"m/the_rental_2020","The Rental",2020-07-24,"R","Certified-Fresh",75,175,"Spilled",45,561,"Male",2,3,67,2020,"R"
"m/the_rhythm_section","The Rhythm Section",2020-01-31,"R","Rotten",28,170,"",44,1134,"Male",8,9,89,2020,"R"
"m/the_silencing","The Silencing",2020-08-14,"R","Rotten",18,22,"",90,21,"Male",2,4,50,2020,"R"
"m/the_traitor_2020","The Traitor",2020-01-31,"R","Certified-Fresh",84,100,"Upright",70,104,"Male",3,3,100,2020,"R"
"m/the_vanished_2020","The Vanished",2020-08-21,"R","Rotten",15,13,"Spilled",49,66,"Male",4,5,80,2020,"R"
"m/the_wave_2020","The Wave",2020-01-17,"R","Fresh",67,36,"Upright",62,68,"Male",3,4,75,2020,"R"
"m/the_way_back_2020","The Way Back",2020-03-06,"R","Certified-Fresh",84,189,"",84,2698,"Male",3,5,60,2020,"R"
"m/three_christs","Three Christs",2020-01-10,"R","Rotten",43,46,"Upright",69,62,"Male",4,6,67,2020,"R"
"m/trolls_world_tour","Trolls World Tour",2020-04-10,"PG","Fresh",70,152,"Spilled",59,1087,"Male",12,20,60,2020,"PG"
"m/true_history_of_the_kelly_gang","True History of the Kelly Gang",2020-04-24,"R","Certified-Fresh",79,154,"Spilled",41,187,"Male",5,8,62,2020,"R"
"m/underwater_2020","Underwater",2020-01-10,"PG-13","Rotten",48,208,"",60,2860,"Male",4,7,57,2020,"PG-13"
"m/valley_girl_2020","Valley Girl",2020-05-08,"PG-13","Rotten",55,49,"Upright",87,312,"Male",2,7,29,2020,"PG-13"
"m/vivarium","Vivarium",2020-03-27,"R","Fresh",72,144,"Spilled",38,1021,"Male",1,3,33,2020,"R"
"m/we_summon_the_darkness","We Summon the Darkness",2020-04-10,"R","Fresh",69,67,"Spilled",32,238,"Male",3,6,50,2020,"R"
"m/yes_god_yes","Yes, God, Yes",2020-07-24,"R","Certified-Fresh",94,109,"Upright",68,391,"Male",2,5,40,2020,"R"
"m/you_cannot_kill_david_arquette","You Cannot Kill David Arquette",2020-08-21,"R","Certified-Fresh",87,45,"Upright",95,37,"Male",2,5,40,2020,"R"
"m/10_minutes_gone","10 Minutes Gone",2019-09-27,"R","Rotten",0,7,"Spilled",18,84,"Male",5,7,71,2019,"R"
"m/3_from_hell","3 from Hell",2019-09-16,"R","Rotten",56,36,"Spilled",59,707,"Male",8,10,80,2019,"R"
"m/47_meters_down_uncaged","47 Meters Down: Uncaged",2019-08-16,"PG-13","Rotten",45,89,"",68,2475,"Male",2,6,33,2019,"PG-13"
"m/6_underground","6 Underground",2019-12-13,"R","Rotten",36,92,"Upright",60,4122,"Male",4,6,67,2019,"R"
"m/a_dogs_journey","A Dog's Journey",2019-05-17,"PG","Rotten",50,84,"Upright",91,2938,"Male",2,5,40,2019,"PG"
"m/a_dogs_way_home","A Dog's Way Home",2019-01-11,"PG","Rotten",59,79,"Upright",71,1613,"Male",7,11,64,2019,"PG"
"m/a_million_little_pieces","A Million Little Pieces",2019-12-06,"R","Rotten",27,48,"Spilled",48,71,"Male",9,11,82,2019,"R"
"m/a_vigilante","A Vigilante",2019-03-29,"R","Fresh",92,37,"Spilled",49,323,"Male",3,6,50,2019,"R"
"m/abominable","Abominable",2019-09-27,"PG","Certified-Fresh",81,164,"",95,7929,"Male",2,5,40,2019,"PG"
"m/ad_astra","Ad Astra",2019-09-20,"PG-13","Certified-Fresh",83,375,"",40,10263,"Male",6,11,55,2019,"PG-13"
"m/after_2019","After",2019-04-12,"PG-13","Rotten",19,37,"Upright",69,2660,"Male",2,6,33,2019,"PG-13"
"m/after_the_wedding_2019","After the Wedding",2019-08-09,"PG-13","Rotten",45,154,"",76,197,"Male",2,5,40,2019,"PG-13"
"m/aladdin","Aladdin",2019-05-24,"PG","Rotten",57,370,"",94,59045,"Male",8,11,73,2019,"PG"
"m/alita_battle_angel","Alita: Battle Angel",2019-02-14,"PG-13","Fresh",61,324,"Upright",92,33791,"Male",5,8,62,2019,"PG-13"
"m/all_is_true","All Is True",2019-05-10,"PG-13","Fresh",72,138,"Upright",67,276,"Male",2,3,67,2019,"PG-13"
"m/always_be_my_maybe_2019","Always Be My Maybe",2019-05-31,"PG-13","Certified-Fresh",89,94,"Upright",80,1908,"Male",5,8,62,2019,"PG-13"
"m/amazing_grace_2018","Amazing Grace",2019-04-05,"G","Certified-Fresh",99,157,"Upright",81,331,"Male",2,3,67,2019,"G"
"m/american_dreamer_2019","American Dreamer",2019-09-20,"R","Rotten",53,15,"Upright",77,77,"Male",1,2,50,2019,"R"
"m/an_acceptable_loss","An Acceptable Loss",2019-01-18,"R","Rotten",12,33,"Upright",71,104,"Male",3,7,43,2019,"R"
"m/angel_has_fallen","Angel Has Fallen",2019-08-23,"R","Rotten",39,183,"",93,14668,"Male",17,19,89,2019,"R"
"m/angel_of_mine_2019","Angel of Mine",2019-08-30,"R","Fresh",73,22,"Upright",88,361,"Male",3,5,60,2019,"R"
"m/anna_2019","Anna",2019-06-21,"R","Rotten",33,69,"",81,2225,"Male",2,3,67,2019,"R"
"m/annabelle_comes_home","Annabelle Comes Home",2019-06-26,"R","Fresh",64,203,"",70,9416,"Male",8,14,57,2019,"R"
"m/apocalypse_now_final_cut","Apocalypse Now: Final Cut",2019-08-15,"R","Fresh",100,21,"Upright",90,81,"Male",7,7,100,2019,"R"
"m/apollo_11_2019","Apollo 11",2019-03-01,"G","Certified-Fresh",99,182,"Upright",90,1027,"Male",3,3,100,2019,"G"
"m/avengers_endgame","Avengers: Endgame",2019-04-26,"PG-13","Certified-Fresh",94,528,"Upright",90,70334,"Male",23,36,64,2019,"PG-13"
"m/being_frank_2019","Being Frank",2019-06-14,"R","Rotten",33,40,"Upright",63,73,"Male",3,6,50,2019,"R"
"m/berlin_i_love_you","Berlin, I Love You",2019-02-08,"R","Rotten",11,18,"Spilled",29,94,"Male",6,10,60,2019,"R"
"m/black_christmas_2019","Black Christmas",2019-12-13,"PG-13","Rotten",39,106,"",31,1356,"Male",1,2,50,2019,"PG-13"
"m/blinded_by_the_light","Blinded by the Light",2019-08-16,"PG-13","Certified-Fresh",89,253,"",91,2635,"Male",5,7,71,2019,"PG-13"
"m/bloodline_2019","Bloodline",2019-09-20,"R","Rotten",53,19,"Spilled",56,111,"Male",3,5,60,2019,"R"
"m/body_at_brighton_rock","Body at Brighton Rock",2019-04-26,"R","Fresh",66,41,"Spilled",18,76,"Male",4,5,80,2019,"R"
"m/bombshell_2019","Bombshell",2019-12-20,"R","Fresh",69,318,"",84,6822,"Male",3,18,17,2019,"R"
"m/booksmart","Booksmart",2019-05-24,"R","Certified-Fresh",96,359,"",77,4116,"Male",4,9,44,2019,"R"
"m/bottom_of_the_9th_2019","Bottom of the 9th",2019-07-19,"R","Fresh",69,13,"Upright",69,36,"Male",2,3,67,2019,"R"
"m/braid_2019","Braid",2019-02-01,"R","Fresh",87,23,"Upright",60,262,"Male",1,4,25,2019,"R"
"m/breakthrough_2019","Breakthrough",2019-04-17,"PG","Fresh",63,64,"Upright",79,1200,"Male",6,10,60,2019,"PG"
"m/brian_banks","Brian Banks",2019-08-09,"PG-13","Fresh",62,71,"",97,1831,"Male",3,6,50,2019,"PG-13"
"m/brightburn","Brightburn",2019-05-24,"R","Rotten",58,203,"",67,4331,"Male",4,6,67,2019,"R"
"m/burn_2019","Burn",2019-08-23,"R","Rotten",58,12,"Spilled",44,55,"Male",3,4,75,2019,"R"
"m/burn_your_maps","Burn Your Maps",2019-06-21,"PG-13","Fresh",64,14,"Upright",82,51,"Male",4,9,44,2019,"PG-13"
"m/captain_marvel","Captain Marvel",2019-03-08,"PG-13","Certified-Fresh",79,523,"Spilled",47,97220,"Male",10,14,71,2019,"PG-13"
"m/captive_state","Captive State",2019-03-15,"PG-13","Rotten",43,77,"Spilled",37,788,"Male",2,3,67,2019,"PG-13"
"m/cats_2019","Cats",2019-12-20,"PG","Rotten",20,319,"",53,6964,"Male",4,8,50,2019,"PG"
"m/changeland","Changeland",2019-06-07,"R","Fresh",63,8,"Spilled",58,100,"Male",4,6,67,2019,"R"
"m/charlie_says_2019","Charlie Says",2019-05-10,"R","Rotten",59,73,"Upright",70,194,"Male",1,7,14,2019,"R"
"m/charlies_angels_2019","Charlie's Angels",2019-11-14,"PG-13","Rotten",52,227,"",78,2620,"Male",8,11,73,2019,"PG-13"
"m/childs_play_2019","Child's Play",2019-06-21,"R","Fresh",63,202,"",57,5798,"Male",3,4,75,2019,"R"
"m/chimera_strain_2019","Chimera Strain",2019-03-15,"R","Fresh",60,5,"Upright",93,392,"Male",1,3,33,2019,"R"
"m/clemency_2019","Clemency",2019-12-27,"R","Certified-Fresh",92,145,"",65,57,"Male",4,7,57,2019,"R"
"m/cold_pursuit","Cold Pursuit",2019-02-08,"R","Fresh",69,183,"Spilled",49,2599,"Male",11,15,73,2019,"R"
"m/corporate_animals","Corporate Animals",2019-09-20,"R","Rotten",25,51,"Spilled",15,50,"Male",5,9,56,2019,"R"
"m/countdown_2019","Countdown",2019-10-25,"PG-13","Rotten",26,70,"",72,2445,"Male",6,10,60,2019,"PG-13"
"m/crawl_2019","Crawl",2019-07-12,"R","Certified-Fresh",83,199,"",75,7593,"Male",2,3,67,2019,"R"
"m/crown_vic","Crown Vic",2019-11-08,"R","Rotten",58,26,"Upright",73,91,"Male",6,9,67,2019,"R"
"m/crypto","Crypto",2019-04-12,"R","Rotten",17,6,"Spilled",59,95,"Male",3,5,60,2019,"R"
"m/danger_close_2019","Danger Close",2019-11-08,"R","Fresh",71,35,"Upright",71,146,"Male",7,7,100,2019,"R"
"m/dark_phoenix","Dark Phoenix",2019-06-07,"PG-13","Rotten",22,370,"",64,15452,"Male",8,13,62,2019,"PG-13"
"m/dark_waters_2019","Dark Waters",2019-12-06,"PG-13","Certified-Fresh",90,218,"",95,2638,"Male",5,7,71,2019,"PG-13"
"m/daughter_of_the_wolf","Daughter of the Wolf",2019-06-14,"R","Rotten",22,9,"Spilled",40,60,"Male",3,5,60,2019,"R"
"m/dead_water","Dead Water",2019-07-26,"R","Rotten",17,6,"Spilled",24,21,"Male",3,4,75,2019,"R"
"m/dolemite_is_my_name","Dolemite Is My Name",2019-10-04,"R","Certified-Fresh",97,226,"",91,113,"Male",15,17,88,2019,"R"
"m/domino_2019","Domino",2019-05-31,"R","Rotten",33,70,"Spilled",18,82,"Male",4,5,80,2019,"R"
"m/dont_let_go_2019","Don't Let Go (Relive)",2019-08-30,"R","Rotten",42,92,"",79,1428,"Male",5,6,83,2019,"R"
"m/donnybrook","Donnybrook",2019-02-15,"R","Rotten",39,46,"Spilled",35,90,"Male",3,4,75,2019,"R"
"m/dora_and_the_lost_city_of_gold","Dora and the Lost City of Gold",2019-08-09,"PG","Certified-Fresh",85,150,"",88,6716,"Male",4,6,67,2019,"PG"
"m/downton_abbey","Downton Abbey",2019-09-20,"PG","Certified-Fresh",84,249,"",94,20271,"Male",10,22,45,2019,"PG"
"m/dragged_across_concrete","Dragged Across Concrete",2019-03-22,"R","Certified-Fresh",76,144,"Upright",68,697,"Male",9,12,75,2019,"R"
"m/dragon_ball_super_broly","Dragon Ball Super: Broly",2019-01-16,"PG","Fresh",82,56,"Upright",92,3415,"Male",3,3,100,2019,"PG"
"m/driven","Driven",2019-08-16,"R","Fresh",63,51,"Upright",67,144,"Male",3,4,75,2019,"R"
"m/drunk_parents","Drunk Parents",2019-04-19,"R","Rotten",0,5,"Spilled",16,263,"Male",4,6,67,2019,"R"
"m/dumbo_2019","Dumbo",2019-03-29,"PG","Rotten",46,363,"Spilled",48,4451,"Male",13,18,72,2019,"PG"
"m/earthquake_bird","Earthquake Bird",2019-11-01,"R","Rotten",50,40,"Spilled",54,197,"Male",1,4,25,2019,"R"
"m/echo_in_the_canyon","Echo In the Canyon",2019-05-24,"PG-13","Certified-Fresh",90,79,"",92,336,"Male",7,9,78,2019,"PG-13"
"m/el_chicano","El Chicano",2019-05-03,"R","Rotten",38,24,"Spilled",55,139,"Male",2,5,40,2019,"R"
"m/eli_2019","Eli",2019-01-04,"R","Rotten",48,25,"Spilled",38,551,"Male",1,4,25,2019,"R"
"m/escape_room_2019","Escape Room",2019-01-04,"PG-13","Rotten",51,157,"Spilled",51,2521,"Male",3,4,75,2019,"PG-13"
"m/euphoria_2017","Euphoria",2019-06-28,"R","Rotten",19,26,"Spilled",38,34,"Male",3,6,50,2019,"R"
"m/everybody_knows","Everybody Knows (Todos lo saben)",2019-02-08,"R","Certified-Fresh",78,177,"Upright",60,640,"Male",4,7,57,2019,"R"
"m/extremely_wicked_shockingly_evil_and_vile","Extremely Wicked, Shockingly Evil and Vile",2019-05-03,"R","Rotten",54,180,"Spilled",57,1401,"Male",4,6,67,2019,"R"
"m/farming","Farming",2019-10-25,"R","Rotten",56,32,"Upright",78,28,"Male",2,5,40,2019,"R"
"m/fast_and_furious_presents_hobbs_and_shaw","Fast & Furious Presents: Hobbs & Shaw",2019-08-02,"PG-13","Fresh",67,337,"",88,27690,"Male",5,7,71,2019,"PG-13"
"m/fast_color","Fast Color",2019-04-19,"PG-13","Certified-Fresh",81,86,"Upright",61,297,"Male",1,3,33,2019,"PG-13"
"m/fighting_with_my_family","Fighting with My Family",2019-02-22,"PG-13","Certified-Fresh",92,234,"Upright",82,3940,"Male",6,11,55,2019,"PG-13"
"m/finding_steve_mcqueen","Finding Steve McQueen",2019-03-15,"R","Rotten",52,23,"Upright",63,84,"Male",4,5,80,2019,"R"
"m/five_feet_apart","Five Feet Apart",2019-03-15,"PG-13","Rotten",53,121,"Upright",79,824,"Male",1,5,20,2019,"PG-13"
"m/freaks_2019","Freaks",2019-09-13,"R","Certified-Fresh",88,82,"",86,152,"Male",6,10,60,2019,"R"
"m/frozen_ii","Frozen II",2019-11-21,"PG","Certified-Fresh",77,325,"",92,48803,"Male",4,8,50,2019,"PG"
"m/gemini_man_2019","Gemini Man",2019-10-11,"PG-13","Rotten",26,306,"",83,8795,"Male",5,6,83,2019,"PG-13"
"m/giant_little_ones","Giant Little Ones",2019-03-01,"R","Certified-Fresh",93,58,"Upright",84,243,"Male",3,6,50,2019,"R"
"m/glass_2019","Glass",2019-01-18,"PG-13","Rotten",37,386,"Upright",67,12559,"Male",6,9,67,2019,"PG-13"
"m/gloria_bell","Gloria Bell",2019-03-22,"R","Certified-Fresh",91,199,"Spilled",46,600,"Male",4,8,50,2019,"R"
"m/godzilla_king_of_the_monsters_2019","Godzilla: King of the Monsters",2019-05-31,"PG-13","Rotten",43,338,"",83,25210,"Male",6,9,67,2019,"PG-13"
"m/good_boys_2019","Good Boys",2019-08-16,"R","Certified-Fresh",80,242,"",86,13007,"Male",2,5,40,2019,"R"
"m/gregorys_girl","Gregory's Girl",2019-10-04,"PG","Fresh",95,20,"Upright",81,5648,"Male",6,7,86,2019,"PG"
"m/greta_2019","Greta",2019-03-01,"R","Fresh",60,270,"Spilled",42,909,"Male",2,8,25,2019,"R"
"m/happy_death_day_2u","Happy Death Day 2U",2019-02-13,"PG-13","Fresh",71,204,"Spilled",58,2910,"Male",2,3,67,2019,"PG-13"
"m/haunt_2019","Haunt",2019-09-13,"R","Fresh",70,46,"",100,8,"Male",2,4,50,2019,"R"
"m/hell_on_the_border","Hell on the Border",2019-12-13,"R","Rotten",40,5,"Spilled",33,27,"Male",5,5,100,2019,"R"
"m/hellboy_2019","Hellboy",2019-04-12,"R","Rotten",18,215,"Spilled",49,4665,"Male",6,11,55,2019,"R"
"m/high_life_2019","High Life",2019-04-05,"R","Certified-Fresh",82,229,"Spilled",41,1027,"Male",4,8,50,2019,"R"
"m/high_strung_free_dance","High Strung Free Dance",2019-10-11,"PG","Rotten",50,6,"Upright",85,92,"Male",1,2,50,2019,"PG"
"m/hotel_mumbai","Hotel Mumbai",2019-03-29,"R","Certified-Fresh",76,214,"Upright",86,1006,"Male",5,6,83,2019,"R"
"m/how_to_train_your_dragon_the_hidden_world","How to Train Your Dragon: The Hidden World",2019-02-22,"PG","Certified-Fresh",90,263,"Upright",86,56316,"Male",7,10,70,2019,"PG"
"m/hustlers_2019","Hustlers",2019-09-13,"R","Certified-Fresh",87,339,"",65,16662,"Male",2,8,25,2019,"R"
"m/i_hate_kids_2019","I Hate Kids",2019-01-18,"PG-13","Rotten",22,9,"Upright",82,99,"Male",7,15,47,2019,"PG-13"
"m/i_see_you_2019","I See You",2019-12-06,"R","Certified-Fresh",78,40,"Upright",75,550,"Male",2,3,67,2019,"R"
"m/imprisoned_2019","Imprisoned",2019-09-13,"R","Rotten",0,8,"",NA,NA,"Male",7,9,78,2019,"R"
"m/in_fabric","In Fabric",2019-12-06,"R","Certified-Fresh",92,154,"Spilled",47,269,"Male",3,7,43,2019,"R"
"m/inside_game","Inside Game",2019-11-01,"R","Rotten",38,8,"",73,33,"Male",3,4,75,2019,"R"
"m/isnt_it_romantic_2019","Isn't It Romantic",2019-02-13,"PG-13","Fresh",70,175,"Spilled",47,3003,"Male",2,6,33,2019,"PG-13"
"m/it_chapter_two","It Chapter Two",2019-09-06,"R","Fresh",63,367,"",78,30949,"Male",7,10,70,2019,"R"
"m/jt_leroy","J.T. LeRoy",2019-04-26,"R","Rotten",55,83,"Spilled",42,52,"Male",1,5,20,2019,"R"
"m/jacobs_ladder_2019","Jacob's Ladder",2019-08-23,"R","Rotten",4,23,"Spilled",39,148,"Male",4,6,67,2019,"R"
"m/jay_and_silent_bob_reboot","Jay & Silent Bob Reboot",2019-10-15,"R","Fresh",66,38,"",93,559,"Male",12,18,67,2019,"R"
"m/jexi","Jexi",2019-10-11,"R","Rotten",17,30,"",71,1336,"Male",2,5,40,2019,"R"
